Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Min,Max,Mean
Mar-20,0.101451448,0.109484233,0.097163748,0.102505119,0.081440332,0.081561772,0.102857385,0.103266274,0.073548688,0.09920665,0.103103873,0.105773653,0.084665924,0.071458964,0.103342352,0.094940562,0.095870038,0.097925537,0.065139302,0.065018252,0.092730484,0.106820827,0.102505119,0.10474683,0.096246948,0.099594437,0.10057731,0.063218072,0.093848725,0.115249348,0.062867278,0.089379844,0.084179694,0.106380404,0.098061213,0.102307078,0.062867278,0.115249348,0.092109928
Apr-20,0.064845531,0.067255876,0.064426858,0.060103924,0.053185776,0.056740616,0.067402163,0.067852107,0.048022824,0.065490555,0.05732964,0.064566497,0.066111025,0.050116644,0.060729099,0.057770072,0.064706744,0.065240522,0.051402268,0.057968578,0.053351674,0.066807144,0.062816346,0.065348792,0.058853142,0.067519652,0.063224516,0.053003859,0.06214251,0.060991873,0.061120569,0.065151352,0.042953972,0.060989272,0.056840763,0.057819571,0.042953972,0.067852107,0.059955919
May-20,0.194642041,0.171014486,0.171850257,0.164068116,0.156904744,0.135860767,0.19803763,0.184343802,0.179693434,0.172906558,0.17246926,0.189657368,0.188279866,0.155791369,0.20285888,0.177037529,0.217268587,0.193681519,0.16763888,0.16019964,0.162903471,0.164996773,0.174191431,0.139921191,0.184265192,0.208935205,0.177140198,0.164656721,0.204794413,0.190353728,0.211505847,0.20840127,0.12537548,0.197298011,0.165249573,0.201778729,0.12537548,0.217268587,0.177423763
Jun-20,0.191234883,0.222284814,0.221432687,0.204032043,0.224008978,0.206614249,0.206336433,0.216340804,0.190518324,0.235936903,0.208693661,0.153611451,0.152016207,0.217168288,0.222299313,0.245891689,0.25029454,0.240535294,0.177771663,0.18099793,0.161755279,0.186411542,0.227463212,0.187496213,0.128873722,0.25082698,0.155791369,0.239601264,0.238947216,0.224851494,0.201778729,0.238275126,0.206049118,0.263371483,0.142354296,0.140265425,0.128873722,0.263371483,0.201302573
Jul-20,0.071960464,0.105011328,0.083381609,0.098851574,0.11022061,0.057974324,0.093327145,0.093154864,0.098026181,0.08218828,0.096410169,0.083952602,0.074577125,0.102942612,0.079824772,0.092885936,0.09548703,0.118232777,0.0686214,0.085530044,0.088340281,0.075643609,0.101607795,0.049757126,0.10197507,0.069522574,0.115135371,0.074857061,0.106003555,0.103262508,0.0834393,0.114981756,0.124618332,0.080773648,0.077186957,0.11671571,0.049757126,0.124618332,0.089259249
Aug-20,0.076845474,0.111364955,0.089048927,0.115284688,0.123738979,0.066879768,0.105102001,0.10503473,0.093794851,0.088987897,0.096154541,0.081252219,0.062520357,0.11062188,0.091646379,0.092410787,0.100190876,0.122383474,0.064633791,0.095193398,0.093909701,0.084017714,0.111225635,0.06240989,0.100114602,0.083381609,0.117153418,0.094086439,0.102543749,0.105818676,0.106045213,0.116932805,0.118265205,0.092158476,0.083318872,0.127752012,0.06240989,0.127752012,0.095376788
Sep-20,0.210564769,0.251974799,0.205080846,0.236631011,0.27961501,0.150093879,0.207228096,0.223143551,0.249198305,0.198582078,0.217795945,0.218907674,0.19472207,0.223371057,0.193968062,0.221794327,0.211945226,0.28390135,0.161442531,0.224497037,0.183564565,0.178634431,0.246970887,0.150282203,0.214189296,0.190540292,0.255972099,0.228893998,0.234520238,0.238094951,0.256901035,0.228947398,0.266394827,0.18125261,0.182146287,0.283230555,0.150093879,0.28390135,0.216257409
Oct-20,0.197982397,0.212405476,0.230709792,0.226124179,0.246173029,0.181992122,0.242841318,0.227783931,0.193327171,0.195212167,0.206491918,0.203519046,0.185934633,0.247889767,0.171594979,0.171280825,0.190218767,0.221676507,0.147196921,0.217905195,0.212650276,0.1899666,0.224623936,0.154418669,0.222089255,0.188529713,0.243535082,0.225682698,0.254432685,0.229900334,0.17262471,0.209361579,0.168349274,0.190273885,0.215799577,0.18046986,0.147196921,0.254432685,0.20375956
Nov-20,0.147464046,0.156464603,0.157680511,0.193014863,0.170711733,0.142614107,0.170202389,0.166691963,0.131675584,0.162234798,0.185454334,0.136390889,0.116577853,0.203449762,0.118572346,0.126718966,0.147469817,0.150199907,0.095339995,0.172002801,0.194243741,0.118195167,0.180250532,0.133144321,0.174837318,0.13443678,0.175608074,0.176113759,0.182687924,0.166664947,0.181648794,0.150150573,0.127124048,0.137165558,0.139262067,0.141724348,0.095339995,0.203449762,0.152417268
Dec-20,0.179858106,0.221511786,0.177915553,0.229213235,0.184930821,0.141110632,0.219942394,0.18979681,0.177411769,0.188299894,0.189421581,0.152558182,0.143319983,0.194618276,0.132619307,0.166875593,0.137127739,0.187501797,0.095538436,0.229052321,0.221519149,0.128475478,0.192991401,0.166504252,0.187684666,0.14666858,0.191646992,0.185603263,0.194452603,0.183467114,0.187020644,0.165795205,0.161903943,0.16734733,0.186130811,0.1999417,0.095538436,0.229213235,0.175263104
Jan-21,0.170649167,0.186640735,0.179527871,0.1950049,0.189668964,0.12528505,0.179446403,0.176832736,0.151127466,0.175036726,0.192013606,0.141092541,0.139077119,0.168716903,0.129338131,0.18580155,0.130836629,0.176580269,0.106966223,0.214978363,0.192512585,0.136597875,0.180747992,0.183982227,0.15831166,0.13498978,0.173555992,0.185999056,0.193884535,0.18476356,0.161727117,0.14619021,0.159017019,0.180828895,0.16099902,0.165084503,0.106966223,0.214978363,0.165197352
Feb-21,0.31698789,0.283030901,0.279496488,0.300486345,0.26298946,0.224204493,0.306473441,0.321166581,0.226552822,0.264761288,0.310245412,0.263762796,0.243132903,0.289010976,0.23519189,0.288850005,0.206577189,0.27925236,0.238824467,0.401556637,0.25581894,0.246850055,0.271053821,0.303876758,0.262764045,0.289782825,0.269342029,0.253339044,0.330407017,0.269580919,0.226297445,0.221903626,0.311089284,0.337076953,0.338034776,0.298065856,0.206577189,0.401556637,0.275770445
Mar-21,0.167380929,0.255469122,0.17892366,0.229940568,0.213876901,0.193745495,0.237772861,0.188091284,0.184586878,0.191644884,0.192946912,0.188625538,0.233541856,0.247685728,0.221579376,0.200543078,0.185964548,0.236698328,0.203829769,0.257952956,0.189299952,0.225303064,0.175578817,0.203298619,0.216414167,0.233700834,0.209204644,0.17747959,0.240233983,0.153851771,0.200954182,0.154488347,0.209187462,0.186741753,0.180371133,0.217611034,0.153851771,0.257952956,0.203378369
Apr-21,0.051181006,0.107682393,0.089011709,0.09810928,0.087845569,0.085069982,0.093963333,0.080706921,0.097153529,0.082509733,0.076259494,0.067260841,0.10591155,0.101535149,0.098188937,0.097611291,0.094941697,0.113317532,0.076727021,0.114990206,0.084975676,0.117713213,0.073121115,0.066700843,0.091257517,0.112496631,0.095115137,0.070772007,0.109578623,0.054408018,0.086890172,0.059551162,0.07932509,0.071324781,0.082828494,0.107416219,0.051181006,0.117713213,0.086647655
May-21,0.11884787,0.224846646,0.190803372,0.216831697,0.170567428,0.171163292,0.209919867,0.201102768,0.159410543,0.161567969,0.155946881,0.174393148,0.22044296,0.211225136,0.151856725,0.174353387,0.127935407,0.215134355,0.186261894,0.209549459,0.135127053,0.227883918,0.132250983,0.164788337,0.13748553,0.208188809,0.173271721,0.171780172,0.215750853,0.127621048,0.150418636,0.133215387,0.161247074,0.185614797,0.199522037,0.193265578,0.11884787,0.227883918,0.174035226
Jun-21,0.357674444,0.385662481,0.505935638,0.372675285,0.412244795,0.267203541,0.384411699,0.441056053,0.412109651,0.399034218,0.375906306,0.369217318,0.375906306,0.336472237,0.27684773,0.475734304,0.395514777,0.430245137,0.498991166,0.538996501,0.398907708,0.450927482,0.368486105,0.545916944,0.37525133,0.39803013,0.369920171,0.487295126,0.478999192,0.333894916,0.369920171,0.388486772,0.405465108,0.525010259,0.448024723,0.382091757,0.267203541,0.545916944,0.404231103
Jul-21,0.109241127,0.128296457,0.09264788,0.102869454,0.048151391,0.084453241,0.122427257,0.095022938,0.047608242,0.033126017,0.064015542,0.105085327,0.094663406,0.103055229,0.066011268,0.110358372,0.055782182,0.055532067,0.078079087,0.104234868,0.047753326,0.087687215,0.096855059,0.090432545,0.028082809,0.101336091,0.11084832,0.064052617,0.122126289,0.087671449,0.061677794,0.048434735,0.10289315,0.123826764,0.097486907,0.09708307,0.028082809,0.128296457,0.080125246
Aug-21,0.062774781,0.073579771,0.072730336,0.071710765,0.037888975,0.055337273,0.076095952,0.061558233,0.037654513,0.036160886,0.055719713,0.061129773,0.060814297,0.065763878,0.058455059,0.060023083,0.047811525,0.055881683,0.056833975,0.064875192,0.045367796,0.063412788,0.070130726,0.061913147,0.031218584,0.066896922,0.071270317,0.051459423,0.072854981,0.064003458,0.053792196,0.046119,0.062697713,0.071192974,0.062325876,0.06137219,0.031218584,0.076095952,0.057903455
Sep-21,0.111542452,0.116424529,0.132645431,0.133996834,0.113908251,0.109644332,0.145294625,0.098159463,0.090236051,0.100203791,0.112407401,0.106754683,0.116806424,0.132291947,0.136302954,0.116404501,0.10740354,0.119555861,0.116183706,0.120102723,0.106883951,0.121092657,0.124550304,0.121589664,0.087187915,0.109553708,0.127406933,0.119275168,0.130530219,0.122928837,0.0977936,0.110753794,0.115912317,0.132160749,0.115708609,0.119064007,0.087187915,0.145294625,0.115927506
Oct-21,0.310895395,0.316698615,0.385662481,0.419226793,0.336920433,0.332314226,0.328587051,0.292800914,0.307869674,0.339491107,0.301845559,0.350178303,0.355593278,0.406222397,0.335127849,0.326701396,0.306067684,0.345842425,0.329624934,0.355491448,0.249568779,0.390077302,0.371526438,0.348556976,0.368302362,0.305018607,0.401265827,0.331145204,0.305809457,0.358501232,0.341776507,0.369727284,0.330177844,0.381258177,0.282611435,0.297447775,0.249568779,0.419226793,0.337348323
Nov-21,0.681718485,0.693147181,0.693147181,0.705569701,0.747214402,0.575364145,0.628608659,0.825074724,0.575364145,0.570544858,0.559615788,0.704197017,0.767255153,0.547639597,0.680877088,0.646627165,0.615760517,0.885519073,0.703958097,0.719122667,0.510825624,0.72907919,0.715620036,0.60077386,0.805065097,0.717839793,0.79078565,1.000172216,0.559615788,0.660711905,0.823200309,0.828321959,0.716677678,0.644357016,0.619039208,0.649662069,0.510825624,1.000172216,0.684212978
Dec-21,0.910211686,0.647684807,1.070441412,0.571450246,1.002152022,0.609765572,0.583584978,0.604199695,0.832909123,0.669616683,0.928713252,0.859132318,0.996829594,0.755278962,0.887303195,1.137833002,0.946143695,0.928713252,0.559615788,0.667171694,0.485507816,1.027153325,0.877718457,0.814099791,0.86808863,0.680243776,1.199416988,0.972732043,0.862223511,1.071583616,0.877718457,0.84729786,0.61146915,1.348073148,0.790521345,0.96046195,0.485507816,1.348073148,0.823253802
Jan-22,0.139178171,0.218140655,0.2135741,0.193833347,0.136859183,0.140417179,0.103930923,0.165817056,0.086234678,0.166235419,0.184756129,0.238715836,0.15784481,0.16225199,0.181728261,0.212034454,0.137072694,0.119386885,0.145227432,0.20255571,0.096585781,0.226579325,0.224669105,0.215906803,0.123183924,0.156645069,0.21511138,0.159949259,0.215906803,0.119243956,0.190183708,0.248862081,0.144122468,0.222376974,0.099710783,0.155852808,0.086234678,0.248862081,0.163934795
Sum,4.945132562,5.266076649,5.583238347,5.241533967,5.391217786,4.195410057,5.013794003,5.128998202,4.644034446,4.678979359,5.043716917,5.01973502,5.136544699,5.104578748,4.836263952,5.480481874,4.868391448,5.642937911,4.395848746,5.45994362,4.264103608,5.350326694,5.306955252,4.935866001,5.021742781,4.954678797,5.802299538,5.551168059,5.512294869,5.227419658,5.167302413,5.190729125,4.83449525,5.886853917,4.823534762,5.256483804,,,
